=======  ============  =========  =======  =========  =========  ===========  =========  ==========  ===  =========  =====  =========  ===========  =========  =======
SOA      problem_size  var1       var2     mean_var1  mean_var2    mean_diff  std_error           t   df          p  sig    Cohen_d_z  Hedges_g_av      p_adj  Sig_adj
=======  ============  =========  =======  =========  =========  ===========  =========  ==========  ===  =========  =====  =========  ===========  =========  =======
SOA_050  large         neigh_con  neutral   622.6404   630.6258   -7.9853298  13.371984  -0.5971687   28  0.5551935  FALSE  0.1108914    0.0435585  1.0000000  FALSE  
SOA_050  large         neigh_inc  neutral   615.7058   630.6258  -14.9200106  14.512674  -1.0280676   28  0.3127177  FALSE  0.1909074    0.0817936  1.0000000  FALSE  
SOA_050  large         unrel_con  neutral   614.2001   630.6258  -16.4256762  13.614678  -1.2064682   28  0.2377321  FALSE  0.2240355    0.0930863  1.0000000  FALSE  
SOA_050  large         unrel_inc  neutral   631.8638   630.6258    1.2380072  12.947125   0.0956202   28  0.9245033  FALSE  0.0177562    0.0068797  1.0000000  FALSE  
SOA_050  small         neigh_con  neutral   565.7481   544.1051   21.6429392   8.003261   2.7042650   28  0.0115114  TRUE   0.5021694    0.1929469  0.2647615  FALSE  
SOA_050  small         neigh_inc  neutral   590.1097   544.1051   46.0045930  15.064352   3.0538713   28  0.0049143  TRUE   0.5670897    0.3453438  0.1179442  FALSE  
SOA_050  small         unrel_con  neutral   556.2525   544.1051   12.1473443  10.901074   1.1143255   28  0.2746136  FALSE  0.2069251    0.1059357  1.0000000  FALSE  
SOA_050  small         unrel_inc  neutral   560.7938   544.1051   16.6886936  11.409798   1.4626634   28  0.1546946  FALSE  0.2716098    0.1523925  1.0000000  FALSE  
SOA_170  large         neigh_con  neutral   634.1120   618.2849   15.8270898  14.166845   1.1171923   28  0.2734071  FALSE  0.2074574    0.0948074  1.0000000  FALSE  
SOA_170  large         neigh_inc  neutral   644.4631   618.2849   26.1782301  10.598037   2.4701017   28  0.0198652  TRUE   0.4586864    0.1613075  0.4370354  FALSE  
SOA_170  large         unrel_con  neutral   606.1043   618.2849  -12.1806208  12.880984  -0.9456282   28  0.3524278  FALSE  0.1755987    0.0799291  1.0000000  FALSE  
SOA_170  large         unrel_inc  neutral   599.8314   618.2849  -18.4534672  11.428955  -1.6146241   28  0.1176065  FALSE  0.2998282    0.1218150  1.0000000  FALSE  
SOA_170  small         neigh_con  neutral   571.9125   566.2172    5.6952965   9.256967   0.6152443   28  0.5433620  FALSE  0.1142480    0.0458731  1.0000000  FALSE  
SOA_170  small         neigh_inc  neutral   575.9717   566.2172    9.7545045   8.131028   1.1996643   28  0.2403229  FALSE  0.2227721    0.0809717  1.0000000  FALSE  
SOA_170  small         unrel_con  neutral   565.2388   566.2172   -0.9783835   9.846358  -0.0993650   28  0.9215565  FALSE  0.0184516    0.0083132  1.0000000  FALSE  
SOA_170  small         unrel_inc  neutral   589.8542   566.2172   23.6370121  13.434482   1.7594286   28  0.0894289  FALSE  0.3267177    0.1807257  1.0000000  FALSE  
SOA_220  large         neigh_con  neutral   620.3022   633.5115  -13.2092522  11.282858  -1.1707364   28  0.2515725  FALSE  0.2174003    0.0728885  1.0000000  FALSE  
SOA_220  large         neigh_inc  neutral   624.9894   633.5115   -8.5220726  15.316510  -0.5563978   28  0.5823588  FALSE  0.1033205    0.0465088  1.0000000  FALSE  
SOA_220  large         unrel_con  neutral   613.1073   633.5115  -20.4041129  13.790530  -1.4795742   28  0.1501510  FALSE  0.2747500    0.1166294  1.0000000  FALSE  
SOA_220  large         unrel_inc  neutral   648.0754   633.5115   14.5639363  13.250209   1.0991477   28  0.2810650  FALSE  0.2041066    0.0780161  1.0000000  FALSE  
SOA_220  small         neigh_con  neutral   568.6639   560.2231    8.4407951  12.016010   0.7024624   28  0.4881901  FALSE  0.1304440    0.0694948  1.0000000  FALSE  
SOA_220  small         neigh_inc  neutral   586.0229   560.2231   25.7998011  12.865417   2.0053606   28  0.0546767  FALSE  0.3723861    0.2103096  1.0000000  FALSE  
SOA_220  small         unrel_con  neutral   566.3582   560.2231    6.1350780   8.660302   0.7084139   28  0.4845447  FALSE  0.1315492    0.0513269  1.0000000  FALSE  
SOA_220  small         unrel_inc  neutral   581.6266   560.2231   21.4034767  10.287776   2.0804764   28  0.0467492  TRUE   0.3863348    0.1668872  0.9817336  FALSE  
=======  ============  =========  =======  =========  =========  ===========  =========  ==========  ===  =========  =====  =========  ===========  =========  =======
